"id","eventID","sampleSizeValue","sampleSizeUnit","eventDate","locationID","locality","verbatimLocality","lineName","dataSet"
"2238A64A-BD5E-4B7F-AA4D-346FF2FDDA9E","2238A64A-BD5E-4B7F-AA4D-346FF2FDDA9E",0,"metre",2020-08-14,"D5B8E78F-2AD6-4BFD-96EE-29FFD653DF4D","Gausdal kontr.","Gausdal Fjellstyre","Gausdal Fjellstyre - 1559","Fjellstyrene"
"908F61CA-5402-440B-A7A2-38313ABE8332","908F61CA-5402-440B-A7A2-38313ABE8332",0,"metre",2019-08-11,"5C673164-C83A-4983-A4D7-73C46C017ECE","Fron Fjellstyre","Fron Fjellstyre","Fron Fjellstyre - 2808","Fjellstyrene"
"C249A289-136C-4B84-AEA2-4019F6B43F21","C249A289-136C-4B84-AEA2-4019F6B43F21",0,"metre",2020-08-08,"EC639E4C-1440-4F16-9346-F8B9C16819A7","Ringebu Fjellstyre","Ringebu Fjellstyre","Ringebu Fjellstyre - 2813","Fjellstyrene"
"B036D460-AB96-4A7C-AF95-584CA521E22D","B036D460-AB96-4A7C-AF95-584CA521E22D",0,"metre",2020-08-03,"4DBB8BDF-7AC1-4191-B5B0-A443D32B506F","Ringebu Fjellstyre","Ringebu Fjellstyre","Ringebu Fjellstyre - 2811","Fjellstyrene"
"73D28863-9D2E-4090-AA24-777702D7259D","73D28863-9D2E-4090-AA24-777702D7259D",0,"metre",2020-08-04,"1E25C57A-23D1-47ED-92CA-1CB2C9901C21","Afjord fjellstyre nord","Åfjord","Åfjord - 5524","Fjellstyrene"
"4F3356DA-0281-4E3A-96A5-7976F084D240","4F3356DA-0281-4E3A-96A5-7976F084D240",2,"metre",2020-08-03,"5F3724C1-409D-49EF-9913-D70FD3EC0EEC","Fron Fjellstyre","Fron Fjellstyre","Fron Fjellstyre - 2806","Fjellstyrene"
"227AB69F-5811-4894-B1DA-80065CE2011A","227AB69F-5811-4894-B1DA-80065CE2011A",0,"metre",2020-08-15,"7D82BCF4-6B03-4A6C-86DA-2BF2CB381EBD","Os Fjellstyre","Os Fjellstyre","Os Fjellstyre - 3455","Fjellstyrene"
"55462DC7-E8DF-49A5-A530-9F03AD5BEEB6","55462DC7-E8DF-49A5-A530-9F03AD5BEEB6",5,"metre",2019-08-10,"BE7275A5-1C16-4984-9428-E2CFA3F5D674","Damtjønnflonan","Budal Fjellstyre","Budal Fjellstyre - 3953","Fjellstyrene"
"01F6EADB-F8B7-4A06-B594-B16121615B71","01F6EADB-F8B7-4A06-B594-B16121615B71",0,"metre",2020-08-09,"BE7275A5-1C16-4984-9428-E2CFA3F5D674","Damtjønnflonan","Budal Fjellstyre","Budal Fjellstyre - 3953","Fjellstyrene"
"38DEA6B9-4C49-4D1C-87DB-B2F5DB79C990","38DEA6B9-4C49-4D1C-87DB-B2F5DB79C990",0,"metre",2020-08-11,"4AA01E4B-5CFB-4408-B885-CD7E93698D06","Båttjønndalen","Ålen og Haltdalen Fjellstyre","Ålen og Haltdalen Fjellstyre - 1903","Fjellstyrene"
"D0E98EB4-1936-4079-BFC8-B4AB02C2E103","D0E98EB4-1936-4079-BFC8-B4AB02C2E103",75,"metre",2020-08-12,"4EC929BC-EED1-4396-A0D2-B92DD3387D4F","Båttjønndalen","Ålen og Haltdalen Fjellstyre","Ålen og Haltdalen Fjellstyre - 1908","Fjellstyrene"
"07BD1F39-9E25-4156-9C3D-C7732F969EFD","07BD1F39-9E25-4156-9C3D-C7732F969EFD",0,"metre",2020-08-03,"29A6BEFF-D5C8-4141-B712-53AB394EB140","Ringebu Fjellstyre","Ringebu Fjellstyre","Ringebu Fjellstyre - 2812","Fjellstyrene"
"72160664-CB89-4B8C-9216-D9CE59AB8DE9","72160664-CB89-4B8C-9216-D9CE59AB8DE9",1,"metre",2019-08-09,"5F3724C1-409D-49EF-9913-D70FD3EC0EEC","Fron Fjellstyre","Fron Fjellstyre","Fron Fjellstyre - 2806","Fjellstyrene"
"B2574BFA-AA17-421B-9FAE-F50C4604AC6C","B2574BFA-AA17-421B-9FAE-F50C4604AC6C",17,"metre",2020-08-09,"D67D3184-D190-4D3D-8013-85D9C8FF2800","Ringebu Fjellstyre","Ringebu Fjellstyre","Ringebu Fjellstyre - 2817","Fjellstyrene"
"3C4F8465-6623-4A8C-AD3A-F85F62B5E87A","3C4F8465-6623-4A8C-AD3A-F85F62B5E87A",60,"metre",2020-08-09,"0E50A4EA-018B-42EA-9279-FF2DA1092E9D","Berghøgda","Ålen og Haltdalen Fjellstyre","Ålen og Haltdalen Fjellstyre - 1876","Fjellstyrene"
"931D6F57-47A9-4746-BF8D-1064B5BA28EA","931D6F57-47A9-4746-BF8D-1064B5BA28EA",0,"metre",2020-08-12,"D2C73C9E-5735-4EB9-AE8E-96971BA38EDD","Skjåfjell","Indre Troms","Indre Troms - 5417","Statskog"
"90DCD6A5-45A1-4B05-B024-4F65BDBF7445","90DCD6A5-45A1-4B05-B024-4F65BDBF7445",0,"metre",2020-08-23,"1BE242FA-49B1-458F-AD52-750DB8166D5A","Statskog Røros","Statskog Røros","Statskog Røros - 2908","Statskog"
"0C03286B-D75F-4CE2-963D-7F4BB438A710","0C03286B-D75F-4CE2-963D-7F4BB438A710",3,"metre",2020-08-15,"8BF3E105-4CC0-4F82-8E48-D7E55C37B5A3","Statskog og Klinga utm.","Statskog og Klinga utm.","Statskog og Klinga utm. - 2108","Statskog"
"F5A11359-FABD-47F1-91EA-A832FA537CA5","F5A11359-FABD-47F1-91EA-A832FA537CA5",55,"metre",2020-08-04,"B0D3DAE2-0773-44C9-92D4-E24F870968C1","Statskog og Klinga utm.","Statskog og Klinga utm.","Statskog og Klinga utm. - 2114","Statskog"
"AB7C457B-513D-418E-9AC3-B7CEC77D3B95","AB7C457B-513D-418E-9AC3-B7CEC77D3B95",20,"metre",2019-08-13,"0E3AD7A6-6E8F-456C-8D28-9FFE5384E5B0","Finnemarka","Finnemarka","Finnemarka - 1987","Statskog"
"781A7856-8EE9-4950-BE34-C852606E8C7C","781A7856-8EE9-4950-BE34-C852606E8C7C",59,"metre",2019-08-13,"5DFD98D9-8A89-484C-B4B3-A3296EADECBD","Kjensvatn","Helgeland 3","Helgeland 3 - 504","Statskog"
"F0E019C8-FD26-4FE5-9F62-CAE112F34EB8","F0E019C8-FD26-4FE5-9F62-CAE112F34EB8",0,"metre",2019-08-18,"EB497242-E828-4406-9174-B1CCFF8FCBFE","Nordalen","Indre Troms","Indre Troms - 5445","Statskog"
"440CE16A-6966-4356-8D02-F251497EDAC6","440CE16A-6966-4356-8D02-F251497EDAC6",0,"metre",2019-08-19,"086A2991-51C0-44E9-B4D2-FD7DB4F0E6CA","Nordalen","Indre Troms","Indre Troms - 5446","Statskog"
"28DB3798-DCF6-4505-802E-FAEC54FD7000","28DB3798-DCF6-4505-802E-FAEC54FD7000",15,"metre",2020-08-15,"DEAA66F0-BE6B-4A30-872E-193EB5EEC2E4","Statskog og Klinga utm.","Statskog og Klinga utm.","Statskog og Klinga utm. - 2104","Statskog"
