countyID;countyName;px1_unsuitable;px2_low;px3_low_to_med;px4_medium;px5_suitable;px6_high;px99_nodata;px_tot;sqkm1_unsuitable;sqkm2_low;sqkm3_low_to_med;sqkm4_medium;sqkm5_suitable;sqkm6_high;sqkm_nodata;sqkm_tot;sqkm_4-6;GBIF
1;Østfold;3387465;0;0;0;0;0;1229672;4617137;3048,7185;0;0;0;0;0;1106,7048;4154,24;0;No data
2;Akershus;4045067;27338;1485;49;36;5;1393566;5467546;3640,5603;24,6042;1,3365;0,0441;0,0324;0,0045;1254,2094;4919,245;0,081;No data
3;Oslo;390844;4;0;0;0;0;112458;503306;351,7596;0,0036;0;0;0;0;101,2122;452,691;0;No data
4;Hedmark;15730064;5055078;2678356;1797038;1365102;1313934;2491331;30430903;14157,0576;4549,5702;2410,5204;1617,3342;1228,5918;1182,5406;2242,1979;27384,893;4028,4666;
5;Oppland;13837025;4134891;2451046;1533049;1564693;1403641;3104867;28029212;12453,3225;3721,4019;2205,9414;1379,7441;1408,2237;1263,2769;2794,3803;25189,846;4051,2447;
6;Buskerud;8811922;2036418;1428290;766338;924509;1069255;1561472;16598204;7930,7298;1832,7762;1285,461;689,7042;832,0581;962,3295;1405,3248;14911,012;2484,0918;1 area
7;Vestfold;1795335;3019;14;0;0;0;667970;2466338;1615,8015;2,7171;0,0126;0;0;0;601,173;2217,24;0;No data
8;Telemark;10010089;2119838;1103122;624829;629005;823511;1710327;17020721;9009,0801;1907,8542;992,8098;562,3461;566,1045;741,1599;1539,2943;15280,373;1869,6105;No data
9;Aust-Agder;6281716;1384627;697844;347634;277497;285825;910430;10185573;5653,5444;1246,1643;628,0596;312,8706;249,7473;257,2425;819,387;9137,414;819,8604;1 area
10;Vest-Agder;4541755;1091459;603797;320006;339945;450042;770248;8117252;4087,5795;982,3131;543,4173;288,0054;305,9505;405,0378;693,2232;7274,446;998,9937;No data
11;Rogaland;4708348;1870843;979391;505757;390530;389807;1629903;10474579;4237,5132;1683,7587;881,4519;455,1813;351,477;350,8263;1466,9127;9376,403;1157,4846;No data
12;Hordaland;9546853;2680611;1260532;692773;552892;583973;1920804;17238438;8592,1677;2412,5499;1134,4788;623,4957;497,6028;525,5757;1728,7236;15438,586;1646,6742;1 area
14;Sogn og Fjordane;10659891;2615264;1432499;1001278;706751;698282;3685926;20799891;9593,9019;2353,7376;1289,2491;901,1502;636,0759;628,4538;3317,3334;18641,448;2165,6799;No data
15;Møre og Romsdal;9346728;2214775;1132944;746976;467008;431224;2654168;16993823;8412,0552;1993,2975;1019,6496;672,2784;420,3072;388,1016;2388,7512;15252,757;1480,6872;No data
16;Sør-Trøndelag;7316648;4027051;2526786;1879244;1630477;1448791;2075409;20904406;6584,9832;3624,3459;2274,1074;1691,3196;1467,4293;1303,9119;1867,8681;18803,284;4462,6608;
17;Nord-Trøndelag;9060285;4966721;2904656;1898419;1748035;1469247;2813286;24860649;8154,2565;4470,0489;2614,1904;1708,5771;1573,2315;1322,3223;2531,9574;22382,605;4604,1309;
18;Nordland;20934098;7866482;3556273;1862282;1468971;1263567;5682342;42634015;18840,6882;7079,8338;3200,6457;1676,0538;1322,0739;1137,2103;5114,1078;38398,906;4135,338;
19;Troms;12929803;5504185;2860703;1487181;1208412;1015247;3787266;28792797;11636,8227;4953,7665;2574,6327;1338,4629;1087,5708;913,7223;3408,5394;25912,751;3339,756;
20;Finnmark;9559066;11903885;11229527;7116167;5233068;2703255;6477033;54222001;8603,1594;10713,4965;10106,5743;6404,5503;4709,7612;2432,9295;5829,3297;48628,576;13547,241;
